AX,AY,AZ,GX,GY,GZ,Result
8.63,-0.05,4.12,0.28,1.1,-0.23,0
7.87,-0.47,4.54,0.19,1.47,-0.31,0
8.4,-1.96,4.05,0.26,0.7,0.32,0
6.37,-4.95,3.31,0.43,0.67,0.52,0
3.92,-8.67,2.45,0.28,0.54,0.73,0
0.22,-10.77,2.16,0.23,0.75,0.4,0
2.14,-3.64,2.45,0.35,1.34,-0.87,0
17.65,-8.92,-31.28,2.82,1.3,-0.08,0
39.26,-9.09,15.81,0.77,-1.22,1.96,0
-1.3,-12.88,31.67,0.82,-4.23,5.25,0
8.16,-9.97,-10.45,0.25,-5.55,3.63,0
16.99,1.38,-8.94,-0.53,0.74,0.03,0
7.57,-11.71,-0.51,1.49,-2.58,1.91,0
3.07,-12.05,6.1,2.21,-1.24,1.33,0
3.07,-17.23,0.65,2.83,-0.25,0.03,0
-7.72,-20.34,0.88,-0.71,-1.31,1.26,0
0.03,-14.05,5.06,-0.01,0.79,1.39,0
-2.35,-17.73,1.28,-0.51,-0.39,1.14,0
-5.51,-16.25,-0.15,-0.56,-0.74,0.15,0
-3.29,-16.84,0.56,-0.01,-1.23,-0.36,0
-2.15,-17.02,1.74,0.03,-0.9,-0.54,0
-3.19,-16.96,2.25,-0.2,-0.93,-0.94,0
1.41,-16.39,0.59,-0.55,-1.75,-1.48,0
3.93,-15.92,1.51,-0.54,-0.29,-1.54,0
5.22,-17.54,1.87,-0.2,-0.92,-1.45,0
15.6,-15.17,-4.16,-0.82,-2.26,-1.55,0
8.83,-12.23,-1.95,-0.72,-0.12,-1.01,0
12.29,-11.51,-6.62,-0.12,-0.61,-0.66,0
9.89,-13.27,-5.22,0.17,-1.08,-0.16,0
10.83,-11.65,-6.86,0.47,-0.7,0.26,0
9.33,-13.49,-4.04,0.66,-0.71,0.86,0
6.14,-15.92,-2.08,0.13,-0.49,0.86,0
4.41,-15.07,-3.64,-0.49,-0.6,0.38,0
4.79,-13.9,-4.46,-0.33,-0.63,-0.09,0
4.65,-14.65,-4.58,0.0,-0.18,-0.34,0
5.45,-14.13,-2.74,0.29,0.17,-0.64,0
8.51,-13.23,-2.05,0.51,-0.24,-0.78,0
11.3,-13.65,-0.18,0.64,-0.45,-0.67,0
11.56,-17.61,-3.18,-0.56,-0.74,-0.67,0
12.57,-12.29,-3.33,-0.15,-0.06,-0.33,0
11.75,-14.51,-3.6,0.09,0.4,-0.44,0
11.74,-11.16,-0.08,0.08,0.78,-0.51,0
0.0,0.0,0.0,0.8,1.23,-0.83,0
35.67,-10.17,21.22,4.15,3.82,0.22,0
2.55,-6.37,7.31,0.83,0.96,-1.63,0
10.23,-7.55,9.76,0.77,-0.16,-0.52,0
10.24,-4.25,8.48,0.66,0.06,-0.22,0
8.46,-2.64,9.81,0.54,0.24,-0.16,0
7.0,-2.13,9.24,0.68,0.2,-0.24,0
7.97,-2.22,9.31,0.4,-0.07,-0.21,0
7.02,-1.89,9.41,0.45,-0.12,-0.05,0
6.0,-0.73,8.83,0.4,-0.12,0.01,0
5.59,-1.18,9.11,0.5,-0.06,-0.25,0
4.73,-0.54,8.58,0.75,0.15,-0.21,0
4.38,-2.0,-0.05,0.02,-0.65,-0.25,0
2.83,-3.12,-0.86,0.09,-0.7,-0.13,0
5.06,-0.09,-2.54,0.68,-0.2,-0.37,0
6.29,-3.73,-1.33,1.01,-1.37,1.33,0
3.8,-9.44,1.6,-1.97,-0.51,-0.39,0
5.61,-4.66,0.94,0.14,-0.43,0.06,0
2.81,-4.56,2.52,0.19,0.44,-0.36,0
6.92,3.91,-0.99,0.49,-0.08,0.34,0
7.27,-0.13,2.69,0.09,-0.1,0.36,0
6.76,0.94,2.14,0.1,0.47,0.36,0
7.63,-0.25,2.09,-0.03,0.75,-0.24,0
7.77,-1.5,1.53,0.63,1.11,-0.29,0
5.56,-4.3,1.65,0.51,1.01,-0.23,0
6.03,-6.69,1.44,0.34,0.7,-0.01,0
4.09,-7.85,1.12,0.41,0.6,0.4,0
5.68,-4.17,-0.34,0.71,0.91,-0.27,0
9.39,1.31,-1.75,0.51,1.75,-0.45,0
9.4,3.78,3.21,-1.17,1.27,0.89,0
11.31,1.7,11.09,-1.05,0.58,1.42,0
-6.07,10.2,-1.64,-0.03,1.24,-0.38,0
1.17,-8.93,13.34,-0.22,-1.5,2.41,0
11.06,-8.87,8.28,-0.88,-0.94,3.59,0
43.18,-23.31,3.98,2.71,-3.03,2.11,0
8.05,3.92,-0.02,0.91,-0.01,2.43,0
3.17,-3.5,14.79,0.58,-2.43,2.44,0
1.76,-35.28,1.84,-0.51,-0.15,1.36,0
10.49,-5.95,0.92,0.14,-0.57,1.75,0
2.5,-17.09,0.51,-0.95,0.23,1.83,0
0.23,-16.97,-3.18,-0.81,-0.4,1.0,0
0.31,-16.67,-3.87,-0.33,-0.89,0.35,0
-3.53,-19.56,-1.66,0.25,-0.39,-0.0,0
-1.26,-16.47,0.93,0.59,-1.51,-0.6,0
0.77,-16.71,-0.56,0.28,-1.67,-0.98,0
2.37,-16.37,0.69,-0.14,-0.77,-1.33,0
4.79,-16.79,0.84,0.55,-1.08,-1.48,0
6.53,-18.79,1.13,0.89,-0.98,-1.65,0
12.87,-10.7,3.83,2.09,-1.01,-1.77,0
22.94,-20.06,14.21,-1.47,-0.33,-0.66,0
12.27,-5.14,9.76,2.29,-0.26,-0.13,0
12.64,-11.99,8.79,1.39,-0.65,-0.06,0
13.54,-12.86,8.23,0.73,-0.89,0.13,0
12.38,-12.14,8.52,0.54,-0.7,0.26,0
12.76,-10.12,8.18,0.39,-0.51,0.04,0
8.92,-7.0,4.81,-0.65,-0.01,-1.72,0
12.71,-3.28,3.62,2.88,1.5,-1.39,0
